team,type,week,won,points,used_timeouts,possession_time,avg_gain,safeties,turnovers,play_count,rush_plays,total_yards,fumbles,lost_fumbles,penalties,penalty_yards,return_yards,avg_yards,attempts,touchdowns,tlost,tlost_yards,yards,longest,redzone_attempts,broken_tackles,kneel_downs,scrambles,yards_after_contact
49ers,1,3,1,30,1,39.166666666666664,5.7,0,0,78,39,441,1,0,6,71,30,3.615,39,1,2,-6,141,18,11,5,3,0,36
Giants,0,3,0,12,3,20.833333333333332,3.3,0,1,46,11,150,0,0,6,37,3,2.636,11,1,1,-1,29,8,1,2,0,1,7
Ravens,1,3,0,19,2,32.3,5.1,1,2,72,37,364,4,2,1,5,45,5.027,37,2,4,-7,186,16,4,3,0,5,88
Colts,0,3,1,22,0,36.55,3.9,0,0,84,35,327,1,0,6,31,48,3.971,35,0,2,-2,139,24,3,0,0,0,57
Dolphins,1,3,1,70,0,33.35,10.2,0,0,71,43,726,0,0,6,55,35,8.14,43,5,5,-13,350,67,8,2,1,0,124
Broncos,0,3,0,20,0,26.65,6.2,0,3,59,20,363,3,2,7,46,0,3.45,20,0,3,-7,69,16,4,0,0,0,11
Jets,1,3,0,10,3,28.133333333333333,2.8,0,0,61,22,171,1,0,3,15,39,1.727,22,1,4,-12,38,7,1,1,0,1,27
Patriots,0,3,1,15,3,31.866666666666667,5.2,1,0,69,40,358,0,0,6,43,39,3.925,40,0,2,-2,157,14,0,0,0,1,60
Jaguars,1,3,0,17,0,32.05,5.9,0,2,69,27,404,1,1,6,49,0,4.296,27,1,1,-2,116,16,2,3,0,2,50
Texans,0,3,1,37,2,27.95,6.5,0,0,56,26,366,0,0,8,75,0,3.308,26,1,4,-8,86,14,8,1,0,1,27
Browns,1,3,1,27,0,38.483333333333334,5.1,0,1,67,31,341,3,1,5,46,11,2.516,31,1,4,-12,78,10,3,9,0,1,60
Titans,0,3,0,3,1,21.516666666666666,2.1,0,0,45,15,94,1,0,8,80,13,1.733,15,0,4,-10,26,9,1,3,0,0,24
Lions,1,3,1,20,2,32.95,5.6,0,1,64,31,358,0,0,10,119,13,3.71,31,1,3,-3,115,21,9,0,3,1,49
Falcons,0,3,0,6,3,27.05,2.8,0,1,65,20,183,1,1,4,24,11,2.2,20,0,4,-10,44,11,0,3,0,1,24
Packers,1,3,1,18,1,32.583333333333336,4.8,0,1,71,26,340,1,0,11,90,4,3.654,26,1,2,-8,95,24,2,3,4,4,34
Saints,0,3,0,17,3,27.416666666666668,4.2,0,0,60,22,252,0,0,7,102,76,3.5,22,0,1,-1,77,19,2,1,0,0,17
Commanders,1,3,0,3,2,25.35,4.5,0,5,51,13,230,1,1,2,15,0,8.077,13,0,1,-1,105,23,2,4,0,1,17
Bills,0,3,1,37,1,34.65,5.9,0,1,65,33,386,0,0,6,45,62,5.091,33,2,2,-5,168,34,7,2,2,3,30
Vikings,1,3,0,24,3,33.21666666666667,6.1,0,2,78,24,475,1,1,6,45,0,5.417,24,0,3,-4,130,15,4,0,0,1,51
Chargers,0,3,1,28,0,26.783333333333335,7.4,0,1,64,15,475,4,1,12,94,0,2.0,15,0,2,-5,30,12,2,0,1,1,11
Seahawks,1,3,1,37,2,30.466666666666665,6.0,0,1,71,33,425,0,0,8,82,41,4.424,33,2,2,-4,146,36,8,4,4,0,52
Panthers,0,3,0,27,3,29.533333333333335,5.0,0,0,75,14,378,0,0,13,82,-3,3.143,14,1,1,-1,44,15,1,2,0,1,20
Chiefs,1,3,1,41,0,36.21666666666667,6.1,0,2,75,37,456,0,0,3,15,49,4.135,37,2,5,-9,153,18,8,3,2,3,56
Bears,0,3,0,10,0,23.783333333333335,4.0,0,2,51,26,203,1,1,6,32,42,4.462,26,0,0,0,116,17,6,0,0,5,41
Cardinals,1,3,1,28,0,25.45,7.5,0,0,53,30,400,0,0,8,69,19,7.4,30,2,2,-3,222,45,3,0,2,2,60
Cowboys,0,3,0,16,3,34.55,5.5,0,1,75,33,416,0,0,13,107,0,5.606,33,0,1,-2,185,31,11,3,0,3,84
Raiders,1,3,0,18,3,29.95,5.4,0,3,67,19,362,1,0,7,60,44,3.632,19,0,1,-1,69,10,2,0,0,1,23
Steelers,0,3,1,23,2,30.05,5.6,0,0,60,31,333,0,0,6,45,5,3.387,31,0,4,-10,105,17,0,2,1,1,36
Buccaneers,1,3,0,11,1,21.083333333333332,4.0,0,2,44,17,174,2,1,4,20,26,2.412,17,0,3,-4,41,12,3,0,0,1,17
Eagles,0,3,1,25,1,38.916666666666664,6.1,1,2,78,40,472,0,0,3,20,81,5.025,40,1,2,-4,201,29,10,2,0,2,56
Bengals,1,3,1,19,2,36.0,4.2,0,1,74,23,309,0,0,7,49,45,2.913,23,1,3,-5,67,14,1,1,3,0,39
Rams,0,3,0,16,3,24.0,5.6,0,2,52,13,292,0,0,4,28,3,5.462,13,0,1,-3,71,22,2,1,0,1,25
